1,21三体综合症
2,3C
3,AA制
4,A咖
5,A片
6,B型超声
7,B超
8,C盘
9,DNA鉴定
10,E仔
11,G弦裤
12,G点
13,K仔
14,K他命
15,K房
16,K书
17,K歌
18,K粉
19,M巾
20,N档
21,OK绷
22,O型腿
23,P图
24,P档
25,P民
26,Q
27,T字帐
28,T字裤
29,T恤
30,T裇
31,USB手指
32,USB记忆棒
33,U形转弯
34,U盘
35,V沟
36,X光
37,○
38,〇
39,〡
40,〢
41,〣
42,〤
43,〥
44,〦
45,〧
46,〨
47,〩
48,㐄
49,㐅
50,㐆
51,㐌
52,㐖
53,㐖毒
54,㐜
55,㐡
56,㐤
57,㐫
58,㐰
59,㐺
60,㑇
61,俊
62,㒳
63,㒸
64,罔
65,寇
66,㔾
67,却
68,厨
69,㕥
70,以
71,㕻
72,㗂
73,㗎
74,坳
75,㚻
76,㚻奸
77,㛂
78,㝄
79,㝇
80,宿
81,冥
82,最
83,㝵
84,㞎
85,㞎㞎
86,㞙
87,㞞
88,岸
89,岛
90,帆
91,帽
92,廉
93,迥
94,㢲
95,㢴
96,㤅
97,恩
98,㥁
99,㥏
100,惬
101,㥯
102,㦂
103,㧯
104,拿
105,捷
106,晃
107,据
108,㩐
109,携
110,㨫
111,㪃
112,㪋
113,散
114,敦
115,㫺
116,暖
117,㬎
118,㮎
119,㮚
120,㮸
121,橹
122,㯳
123,饮
124,㱾
125,㲈
126,㲋
127,㲱
128,㲾
129,㳂
130,涎
131,法
132,㳮
133,深
134,涧
135,㵪
136,㵮
137,㶸
138,㷖
139,㷭
140,㹠
141,㹢
142,㹴
143,㹴犬
144,㺢
145,㺢㹢狓
146,㺵
147,㻽
148,碗
149,留
150,㽮
151,瘪
152,㿝
153,䂖
154,䂲
155,䂶
156,䃉
157,䅵
158,䇲
159,筲
160,糊
161,䍃
162,䍹
163,䒗
164,䔢
165,䕭
166,䖟
167,䖸
168,䗈
169,䗥
170,䗪
171,蜂
172,䗶
173,恤
174,脉
175,卒
176,词
177,䛟
178,䝓
179,獾
180,䞓
181,䟆
182,䟖
183,䠀
184,趟
185,䠞
186,射
187,䤈
188,䥑
189,镰
190,䥯
191,䦉
192,䦕
193,䩦
194,䫏
195,飒
196,䬠
197,䬪
198,驮
199,䯝
200,魂
201,鲃
202,鲃鱼
203,䲔
204,䳗
205,鹅
206,鹮
207,麸
208,䵹
209,衄
210,䶑
211,一
212,一一
213,一一对应
214,一一映射
215,一丁不识
216,一丁点
217,一下
218,一下儿
219,一下子
220,一不做，二不休
221,一世
222,一丘之貉
223,一并
224,一中一台
225,一中原则
226,一串
227,一之为甚
228,一之谓甚
229,一干二净
230,一了百了
231,一事无成
232,一二八事变
233,一五一十
234,一些
235,一人得道，鸡犬升天
236,一介不取
237,一代
238,一代不如一代
239,一来
240,一来二去
241,一个中国政策
242,一个人
243,一个个
244,一个劲
245,一个劲儿
246,一个巴掌拍不响
247,一个幽灵在欧洲游荡
248,一个接一个
249,一个样
250,一个萝卜一个坑
251,一侧化
252,一传十，十传百
253,一价
254,一元
255,一元论
256,一元醇
257,一共
258,一再
259,一准
260,一刀两断
261,一刀切
262,一分一毫
263,一分为二
264,一分耕耘，一分收获
265,一分钱一分货
266,一分钱两分货
267,一切
268,一切事物
269,一切向钱看
270,一切如旧
271,一切就绪
272,一切险
273,一刻千金
274,一则
275,一则以喜，一则以忧
276,一动不动
277,一劳永逸
278,一匙
279,一千零一夜
280,一半
281,一半天
282,一卡通
283,一去不回
284,一去不复返
285,一去无影踪
286,一反常态
287,一口
288,一口吃不成胖子
289,一口吃个胖子
290,一口咬定
291,一口气
292,一口气儿
293,一古脑儿
294,一句
295,一句话
296,一同
297,一吐为快
298,一向
299,一周
300,一味
301,一呼百应
302,一呼百诺
303,一命呜呼
304,一命归天
305,一命归西
306,一命归阴
307,一品
308,一品红
309,一品锅
310,一哄而散
311,一哄而起
312,一哭二闹三上吊
313,一唱一和
314,一问三不知
315,一回事
316,一回生，二回熟
317,一国两制
318,一团
319,一团和气
320,一团漆黑
321,一团火
322,一团糟
323,一堆
324,一场空
325,一块
326,一块儿
327,一块面
328,一塌糊涂
329,一尘不染
330,一壁
331,一壁厢
332,一夔已足
333,一多对应
334,一夜情
335,一夜爆红
336,一夜露水
337,一大早
338,一大早儿
339,一天一个样
340,一天到晚
341,一夫一妻
342,一夫当关，万夫莫开
343,一失足成千古恨
344,一套
345,一如
346,一如所料
347,一如既往
348,一妻制
349,一孔之见
350,一字
351,一字一泪
352,一字不差
353,一字不提
354,一字不识
355,一字之师
356,一字千金
